# CountryCode,MinLat,MaxLat,MinLong,MaxLong
AF,29.3772,38.4905,60.517,74.8899
AL,39.6249,42.6611,19.3045,21.0200
DZ,18.9681,37.0887,-8.6673,11.9973
AS,-14.5529,-11.0460,-171.0906,-168.1433
AD,42.4285,42.6559,1.4083,1.7866
AO,-18.0314,-4.3881,11.6700,24.0879
AG,16.7574,17.7277,-61.9063,-61.6720
AR,-55.25,-21.8321,-73.5829,-53.6505
AM,38.8403,41.3001,43.4477,46.6342
AU,-43.6345,-10.6681,113.3389,153.5694
AT,46.3723,49.02,9.5309,16.9797
AZ,38.3922,41.8602,44.7939,50.3928
BS,23.7153,27.4735,-78.98,-77.0
BH,25.796,26.282,-50.6643,-50.397
BD,20.6708,26.4465,88.0283,92.6714
BB,13.0398,13.3295,-59.6507,-59.424
BY,51.26,56.167,23.1783,32.7628
BE,49.497,51.5517,2.5469,6.4036
BZ,15.8893,18.496, -89.2245,-87.3094
BJ,6.1421,12.4095,0.7746,3.8445
BM,32.2595,32.3856,-64.8782,-64.6476
BT,26.7022,28.2463,88.7597,92.1252
BO,-22.896, -9.6806,-69.6449,-57.465
BA,42.555,45.2338,15.7287,19.6224
BW,-26.9075,-17.7781,20.0001,29.3753
BR,-33.7475,5.2444,-73.9872,-34.7931
BG,41.2345,44.2268,22.357,28.6136
BF,9.4105,15.0828,-5.514,2.4054
BI,-4.4693,-2.3485,29.0249,30.8477
CV,14.8036,17.1924,-25.3585,-22.669
KH,10.4865,14.5708,102.348,107.627
CM,1.6546,13.0833,8.3822,16.1921
CA,41.6765,83.1139,-141.0,-52.3232
KY,19.263,19.75,-81.432, -81.119
CF,2.2238,11.1424,14.4598,27.4658
TD,7.4219,23.4094,13.4735,24.0002
CL,-55.6118,-17.5800,-75.6447,-66.0753
CN,18.1977,53.5608,73.6754,135.0263
CO,-4.2316,13.3872,-81.7,-66.8695
KM,-12.3803,-11.3610,43.214,44.5293
CG,-5.0379,3.7073,11.0937,18.642
CD,-13.4557,5.3921,12.0395,31.3058
CR,8.039,-5.2848,-85.9417,-82.5534
HR,42.3381,46.555,13.5023,19.4272
CU,19.6275,23.2262,-84.9574,-74.178
CY,34.6338,35.7022,32.2737,34.6041
CZ,48.5518,51.0557,12.09,18.8592
DK,54.8027,57.7309,8.0899,12.6901
DJ,10.9149,12.7923,41.7662,43.4227
DM,15.2013,15.6396,-61.4843,-61.2301
DO,17.4735,19.9298,-71.9451,-68.3225
EC,-5.0158,1.6786,-92.0116,-75.1868
EG,22.0,31.6667,24.7,36.8662
SV,13.1564,14.445,-90.1282,-87.7235
GQ,-1.4789,3.989,5.6111,11.335
ER,12.3607,18.021,36.4334,43.1
EE,57.5093,59.9574,21.381,28.2103
SZ,-27.3167,-25.7205,30.7908,32.0717
ET,3.4034,14.9594,32.9542,47.7894
FJ,-20.675, -12.4805,177.6676,-178.5969
FI,59.8467,70.0923,20.6456,31.5161
FR,41.3337,51.0891,-5.1406,9.5597
GA,-3.9788,2.3182,8.7021,14.5023
GM,13.0637,13.8253,-16.8259,-13.7913
GE,41.0565,43.586,39.955,46.6879
DE,47.2701,55.0815,5.8663,15.0419
GH,4.737,11.1749,-3.2444,1.202
GR,34.9199,41.7489,19.6272,28.24
GD,11.997,12.5295,-61.802, -61.342
GT,13.7353,17.8161,-92.2463,-88.225
GN,7.1907,12.6751,-15.0819,-7.640
GW,10.9242,12.6869,-16.7178,-13.7004
GY,1.1854,8.5581,-61.41,-56.468
HT,18.0297,20.0877,-74.4785,-71.6397
HN,12.9808,16.0054,-89.3566,-83.1554
HU,45.7371,48.5853,16.1139,22.8977
IS,63.3967,66.5361,-24.5442,-13.4958
IN,6.74678,35.5087,68.1623,97.3956
ID,-10.0636,5.9044,95.2049,141.0113
IR,25.064,39.7805,44.1092,63.3175
IQ,29.0586,37.3809,38.7937,48.5676
IE,51.6693,55.1316,-10.8544,-6.0079
IL,29.5013,33.3345,34.2674,35.8962
IT,36.6199,47.0952,6.6149,18.4802
JM,17.7037,18.5248,-78.3643,-75.8964
JP,24.3963,45.5514,122.9346,153.9866
JO,29.1852,33.3742,34.959,39.3011
KZ,40.5686,55.3852,46.4918,87.3238
KE,-4.678,-4.678,40.993, 40.993
KI,-3.3714,-1.2892,-157.6861,-150.215
KP,37.6764,43.006,124.315,130.6749
KR,33.1907,38.6122,125.8877,129.5847
KW,28.5246,30.0972,46.554,49.0047
KG,39.1728,43.2384,69.2645,80.2583
LA,13.9258,22.5085,100.0844,107.6345
LV,55.6748,58.0856,20.8539,28.2415
LB,33.0556,34.6947,35.1,36.625
LS,-30.6439,-28.5708,27.0115,29.4557
LR,4.2628,8.5518,-11.4934,-7.3651
LY,19.5,33.168,9.3,25.1566
LI,47.0485,47.2707,9.4716,9.6357
LT,53.9005,56.4504,20.6539,26.8355
LU,49.4415,50.1828,5.7357,6.528
MK,40.8602,42.3736,20.4529,23.0381
MG,-25.6071,-11.9457,43.2541,50.4862
MW,-17.1295,-9.3673,32.6726,35.9186
MY,0.8513,7.3666,99.6404,119.2676
MV,-0.426,7.091,72.693,73.695
ML,10.1467,25.0,-12.2389,4.2673
MT,35.8062,36.0846,14.1834,14.5676
MH,5.5816,20.7458,165.5249,172.0163
MR,14.73,27.2981,-17.0634,-4.8333
MU,-20.5176,-10.1381,56.512,63.503
MX,14.5328,32.7186,-118.3648,-86.7105
FM,0.827,10.0262,137.2231,163.0372
MD,45.4883,48.4917,26.616,30.1309
MC,43.7248,43.7514,7.4085,7.4399
MN,41.5974,52.154,87.734,119.7725
ME,41.8622,43.5588,18.45,20.3398
MA,27.6646,35.9222,-13.172,-0.997
MZ,-26.8552,-10.4711,30.213,40.8399
MM,9.785,28.5433,92.1892,101.1768
NA,-28.9695,-16.9636,11.7177,25.2617
NR,-0.5477,-0.5045,166.9092,166.9582
NP,26.347,30.4227,80.0586,88.2015
NL,50.7542,53.5587,3.3626,7.2279
NZ,-52.576,-29.2314,-179.0581,179.3169
NI,10.7075,15.0254,-87.693, -82.725
NE,11.6953,23.517,0.1762,15.9967
NG,4.2771,13.8659,2.6917,14.5772
NU,-19.1444,-18.9641,-169.9516,-169.782
NO,57.9863,71.447,4.0875,31.0781
OM,16.651,26.3959,51.9823,59.8366
PK,23.6345,37.0841,60.8729,77.8374
PW,2.748,8.1975,131.1427,134.726
PA,7.2025,9.6116,-83.052, -77.2425
PG,-11.6572,-1.318,-155.9678,155.9632
PY,-27.6036,-19.2876,-62.8465,-54.2926
PE,-18.3479,-0.0112,-81.3268,-68.6517
PH,4.6433,21.1212,116.9549,126.6065
PL,49.002,54.8378,14.1239,24.1459
PT,36.8383,42.2805,-9.5274,-6.3891
QA,24.5563,26.1547,50.6848,51.6067
RO,43.6187,48.2666,20.2586,29.7013
RU,41.1889,81.8587,19.25,180.0
RW,-2.8256,-1.047,28.8617,30.8965
WS,-14.0418,-13.432, -172.8016,-171.4159
SM,43.8937,43.9922,12.4033,12.5162
ST,0.014,1.7053,6.382,7.458
SA,16.3763,32.1543,34.6323,55.6667
SN,12.307,16.5983,-17.536, -11.3559
RS,42.2322,46.1817,18.819,23.0042
SC,-10.2193,-4.283,45.998,56.304
SL,6.7859,9.9991,-13.3076,-10.2551
SG,1.2251,1.4786,103.6403,104.01
SK,47.7314,49.6048,16.8332,22.5657
SI,45.4218,46.8762,13.3755,16.5968
SB,-12.2906,-6.5993,155.5082,170.3965
SO,-1.6749,11.979,40.9654,51.4126
ZA,-47.1781,-22.1266,16.4636,38.3211
SS,3.5091,12.2222,23.8869,35.9401
ES,27.637,43.793, -18.1672,4.5919
LK,5.9188,9.835,79.6951,81.787
SD,8.6847,22.2322,21.8145,38.4101
SR,1.8311,6.0052,-58.0675,-53.9783
SZ,-27.3167,-25.7205,30.7908,32.0717
SE,55.3618,69.1062,11.0274,23.9034
CH,45.8179,47.8085,5.9561,10.4915
SY,32.3114,37.3183,35.7272,42.385
TJ,36.6786,41.0399,67.3426,75.1534
TZ,-11.7612,-0.9907,29.3269,40.4494
TH,5.6145,20.4648,97.345,105.6392
TL,-9.5,-8.2,125.6,127.3
TG,6.1043,11.1396,-0.1515,1.8087
TO,-21.4311,-15.5625,-179.9872,179.8857
TT,10.0344,10.8538,-61.9241,-60.8954
TN,30.2288,37.5436,7.5056,11.5644
TR,35.8136,42.1072,25.6684,44.7939
TM,35.1414,42.7977,52.5025,66.6464
TV,-9.4244,-5.6417,179.3368,179.8638
UG,-1.4823,4.2344,29.5795,35.006
UA,44.3864,52.3351,22.0856,40.1523
AE,22.6444,26.0845,51.498,56.3968
GB,49.674,60.8458,-8.6493,1.7627
US,24.3963,49.3844,-125.0,-66.9345
UY,-34.9526,-30.0966,-58.4428,-53.2096
UZ,37.1821,45.5901,55.928,73.0554
VU,-20.2527,-13.072,166.5205,170.2367
VA,41.9029,41.9079,12.4457,12.4577
VE,0.6492,12.2017,-73.3546,-59.8156
VN,8.1797,23.3934,102.1412,109.4646
EH,20.7744,27.6697,-17.1051,-8.6661
YE,11.9091,18.9996,42.5313,54.5305
ZM,-18.0794,-8.2383,21.8878,33.702
ZW,-22.42,-15.6099,25.2362,33.0546
